"Source:","C:\Users\simao\Documents\KiCad\Projects\VCOv1\VCOv1.kicad_sch"
"Date:","3/2/2023 10:13:05 AM"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","88"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Func","func"
"23","3","R11, R12, R38","10","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"24","2","R13, R21","68k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"25","1","R15","14k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"26","1","R16","47k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"27","4","R18, R25, R29, R37","1k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"28","6","R20, R22, R23, R26, R30, R33","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"29","2","R24, R27","20k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"30","2","R28, R34","2k2","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"31","1","R31","390","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"32","1","R32","18k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"33","2","R35, R36","13k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"34","3","RV1, RV2, RV5","B100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","Coarse",""
"35","1","RV3","B1M","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","FM Level",""
"36","1","RV4","1k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","Tune",""
"37","1","RV6","B250k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","~","PWM CV Level",""
"38","1","RV7","20k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","A",""
"39","1","RV8","100k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","W",""
"40","1","RV9","50k","Device:R_Potentiometer_Small","Potentiometer_THT:Potentiometer_Vishay_T73XW_Horizontal","~","","Z"
"41","4","TH1, TH2, TH3, TH4","10K","Device:Thermistor_NTC","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical","~","",""
"42","1","U1","40106","4xxx:40106","Package_DIP:DIP-14_W7.62mm_Socket","https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf","",""
"43","2","U2, U3","TL074","Amplifier_Operational:TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf","",""
